step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
1040,2023-07-03 09:37:57.888657884,2,193.62,122.0,-0.19066041147430968,0.17412141147430968,0.0,0.016539
1056,2023-07-03 09:39:12.046884737,2,193.6,166.0,-0.10386706911274568,0.06719736911273545,0.020000000000010232,0.0166697
1068,2023-07-03 09:39:46.683559105,1,193.62,176.0,-0.041882218204301574,0.025398218204301576,0.0,0.016484
1069,2023-07-03 09:39:46.890387150,1,193.62,143.0,-0.1180768728172063,0.1015928728172063,0.0,0.016484
1075,2023-07-03 09:40:28.676143039,1,193.62,127.0,-0.041863218204301576,0.025398218204301576,0.0,0.016465
1079,2023-07-03 09:40:47.101112274,1,193.62,167.0,-0.07322324241219097,0.056792142412190966,0.0,0.0164311
1084,2023-07-03 09:40:48.758513369,1,193.59,163.0,-0.07209411820430271,0.025398218204301576,0.030000000000001137,0.0166959
1090,2023-07-03 09:41:06.101724791,1,193.55,66.0,-0.08071460435155292,0.04399100435157111,0.01999999999998181,0.0167236
1092,2023-07-03 09:41:06.101724791,1,193.55,181.0,-0.06212181820428339,0.025398218204301576,0.01999999999998181,0.0167236
1098,2023-07-03 09:41:17.895750669,1,193.53,224.0,-0.08217711820429362,0.025398218204301576,0.03999999999999204,0.0167789
1116,2023-07-03 09:43:05.130166001,2,193.55,147.0,-0.15004778482436373,0.11358428482438193,0.01999999999998181,0.0164635
1118,2023-07-03 09:43:53.715099819,2,193.51,149.0,-0.10057480435159158,0.04399100435157111,0.040000000000020464,0.0165838
1127,2023-07-03 09:47:13.273616529,2,193.54,191.0,-0.0835360424122103,0.056792142412190966,0.010000000000019327,0.0167439
1128,2023-07-03 09:47:13.273616529,1,193.54,213.0,-0.0835360424122103,0.056792142412190966,0.010000000000019327,0.0167439
1152,2023-07-03 09:50:39.952556352,1,193.6,175.0,-0.27041058204301577,0.25398218204301576,0.0,0.0164284
1155,2023-07-03 09:52:22.522033024,2,193.56,128.0,-0.05188461820429248,0.025398218204301576,0.009999999999990905,0.0164864
1162,2023-07-03 09:54:39.297476877,1,193.6,74.0,-0.09270575461290473,0.07619465461290473,0.0,0.0165111
1171,2023-07-03 09:57:03.674346603,1,193.62,87.0,-0.27114498204301574,0.25398218204301576,0.0,0.0171628
1178,2023-07-03 09:58:58.254848685,2,193.62,115.0,-0.10798657804103226,0.09157457804103226,0.0,0.016412
1184,2023-07-03 09:59:28.307840427,1,193.62,232.0,-0.09675781803554472,0.08031621803554471,0.0,0.0164416
1191,2023-07-03 10:00:12.996251499,2,193.58,94.0,-0.11321554241218301,0.056792142412190966,0.03999999999999204,0.0164234
1200,2023-07-03 10:01:54.473477211,2,193.62,153.0,-0.04185851820430157,0.025398218204301576,0.0,0.0164603
1201,2023-07-03 10:02:00.978617853,1,193.62,150.0,-0.162570855585053,0.145901655585053,0.0,0.0166692
1217,2023-07-03 10:04:04.826599767,1,193.69,93.0,-0.09256131820431295,0.025398218204301576,0.05000000000001137,0.0171631
1218,2023-07-03 10:04:04.826599767,1,193.69,101.0,-0.246755623223184,0.17959252322317262,0.05000000000001137,0.0171631
1221,2023-07-03 10:04:04.826599767,2,193.67,205.0,-0.19491861393392518,0.10775551393390358,0.0700000000000216,0.0171631
1226,2023-07-03 10:04:12.857112412,1,193.71,71.0,-0.09733103640860429,0.05079643640860315,0.030000000000001137,0.0165346
1237,2023-07-03 10:04:57.609134588,1,193.57,111.0,-0.21231251820431749,0.025398218204301576,0.17000000000001592,0.0169143
1245,2023-07-03 10:04:57.609134588,1,193.53,83.0,-0.25378261820430953,0.025398218204301576,0.21000000000000796,0.0183844
1251,2023-07-03 10:04:57.609134588,1,193.52,151.0,-0.26378261820430043,0.025398218204301576,0.21999999999999886,0.0183844
1255,2023-07-03 10:04:59.311630768,1,193.51,71.0,-0.4016270828331048,0.2651651828331002,0.12000000000000455,0.0164619
1264,2023-07-03 10:05:02.275625184,1,193.5,50.0,-0.29467208856406213,0.1480957885640667,0.12999999999999545,0.0165763
1281,2023-07-03 10:05:21.240736312,2,193.43,163.0,-0.132522218204305,0.025398218204301576,0.09000000000000341,0.017124
1291,2023-07-03 10:05:23.165747632,2,193.24,141.0,-0.6341293088106622,0.3573846088106713,0.2599999999999909,0.0167447
1293,2023-07-03 10:05:28.188405667,2,193.35,68.0,-0.18709891803554812,0.08031621803554471,0.09000000000000341,0.0167827
1294,2023-07-03 10:05:28.188405667,2,193.17,102.0,-0.4663752232231828,0.17959252322317262,0.27000000000001023,0.0167827
1296,2023-07-03 10:05:28.188405667,1,193.11,120.0,-0.5994917803817112,0.25270908038172724,0.3299999999999841,0.0167827
1310,2023-07-03 10:05:28.199821099,2,193.0,83.0,-0.48225681820429933,0.025398218204301576,0.4399999999999977,0.0168586
1321,2023-07-03 10:05:28.332364549,1,193.12,229.0,-0.2378561329970913,0.2214165329970913,0.0,0.0164396
1336,2023-07-03 10:06:01.519703909,2,193.25,178.0,-0.09190291820431294,0.025398218204301576,0.05000000000001137,0.0165047
1353,2023-07-03 10:06:57.287278223,1,193.25,185.0,-0.06191081820431181,0.025398218204301576,0.020000000000010232,0.0165126
1369,2023-07-03 10:09:41.277594819,1,193.38,150.0,-0.12708181803554586,0.08031621803554471,0.030000000000001137,0.0167656
1370,2023-07-03 10:09:41.277594819,1,193.36,67.0,-0.14708181803552767,0.08031621803554471,0.04999999999998295,0.0167656
1375,2023-07-03 10:09:49.421468443,2,193.38,181.0,-0.07244841820430271,0.025398218204301576,0.030000000000001137,0.0170502
1382,2023-07-03 10:10:02.617198108,2,193.39,77.0,-0.11675621803555494,0.08031621803554471,0.020000000000010232,0.01644
1392,2023-07-03 10:10:02.900415749,1,193.39,62.0,-0.21639652322318287,0.17959252322317262,0.020000000000010232,0.016804
1394,2023-07-03 10:10:02.902829928,2,193.4,52.0,-0.16329369083771866,0.13677359083772775,0.009999999999990905,0.0165201
1458,2023-07-03 10:15:19.575554972,2,193.42,59.0,-0.042023418204301576,0.025398218204301576,0.0,0.0166252
1460,2023-07-03 10:15:51.503432602,1,193.42,181.0,-0.1023680046446459,0.03591850464463453,0.05000000000001137,0.0164495
1476,2023-07-03 10:18:32.589320383,2,193.42,126.0,-0.12732346649854565,0.11070826649854565,0.0,0.0166152
1490,2023-07-03 10:19:38.426750504,1,193.4,59.0,-0.13064390435156428,0.04399100435157111,0.06999999999999318,0.0166529
1494,2023-07-03 10:21:00.025534096,2,193.42,59.0,-0.04191281820430158,0.025398218204301576,0.0,0.0165146
1496,2023-07-03 10:21:47.069836829,1,193.47,105.0,-0.04215651820430158,0.025398218204301576,0.0,0.0167583
1505,2023-07-03 10:22:28.524083389,1,193.47,105.0,-0.09746363640860428,0.05079643640860315,0.030000000000001137,0.0166672
1515,2023-07-03 10:23:39.020350150,2,193.51,169.0,-0.12125193635882071,0.10471953635882071,0.0,0.0165324
1534,2023-07-03 10:25:15.517274535,1,193.43,157.0,-0.08770463640858496,0.05079643640860315,0.01999999999998181,0.0169082
1539,2023-07-03 10:25:52.988330531,2,193.43,183.0,-0.2852157764509418,0.2687894764509418,0.0,0.0164263
1555,2023-07-03 10:26:17.525679475,1,193.47,130.0,-0.3971590615100405,0.19006286151004276,0.18999999999999773,0.0170962
1556,2023-07-03 10:26:22.251450644,2,193.52,151.0,-0.04190961820430157,0.025398218204301576,0.0,0.0165114
1562,2023-07-03 10:31:11.282067178,2,193.52,63.0,-0.12232281820428566,0.025398218204301576,0.07999999999998408,0.0169246
1572,2023-07-03 10:32:36.648113222,2,193.59,113.0,-0.11818047804102316,0.09157457804103226,0.009999999999990905,0.0166059
1599,2023-07-03 10:39:01.420278423,1,193.5,114.0,-0.12255071820431408,0.025398218204301576,0.0800000000000125,0.0171525
1614,2023-07-03 10:39:34.885428281,1,193.42,160.0,-0.1738775424122137,0.056792142412190966,0.10000000000002274,0.0170854
1618,2023-07-03 10:40:00.042490868,2,193.46,119.0,-0.052017218204292476,0.025398218204301576,0.009999999999990905,0.016619
1634,2023-07-03 10:43:34.842202344,2,193.44,92.0,-0.04209731820430158,0.025398218204301576,0.0,0.0166991
1644,2023-07-03 10:45:25.541657282,2,193.46,88.0,-0.18791429419729216,0.14141129419729104,0.030000000000001137,0.016503
1657,2023-07-03 10:48:42.381304003,1,193.45,127.0,-0.06044080435157111,0.04399100435157111,0.0,0.0164498
1661,2023-07-03 10:49:17.874410839,1,193.45,63.0,-0.06056070435157111,0.04399100435157111,0.0,0.0165697
1736,2023-07-03 10:57:51.324904553,2,193.32,48.0,-0.3007991820430169,0.25398218204301576,0.030000000000001137,0.016817
1739,2023-07-03 10:57:51.340193639,2,193.31,180.0,-0.08259050464463566,0.03591850464463453,0.030000000000001137,0.016672
1752,2023-07-03 10:58:19.238606050,1,193.3,69.0,-0.2863562217578385,0.21995502175785553,0.04999999999998295,0.0164012
1770,2023-07-03 10:58:27.243338977,1,193.25,59.0,-0.3295737599122409,0.24228355991224776,0.06999999999999318,0.0172902
1778,2023-07-03 10:58:42.090464493,2,193.23,202.0,-0.21611192322318284,0.17959252322317262,0.020000000000010232,0.0165194
1823,2023-07-03 11:00:00.162186788,2,193.58,110.0,-0.04198301820430157,0.025398218204301576,0.0,0.0165848
1836,2023-07-03 11:00:00.448789643,2,193.44,56.0,-0.19627232322317262,0.17959252322317262,0.0,0.0166798
1845,2023-07-03 11:00:00.693896086,1,193.45,84.0,-0.246236223223184,0.17959252322317262,0.05000000000001137,0.0166437
1847,2023-07-03 11:00:00.946625283,1,193.49,204.0,-0.2216261307550066,0.09503143075502138,0.10999999999998522,0.0165947
1849,2023-07-03 11:00:04.618750167,1,193.46,96.0,-0.3164272232231772,0.17959252322317262,0.12000000000000455,0.0168347
1861,2023-07-03 11:00:20.669537821,1,193.45,159.0,-0.09188211820431294,0.025398218204301576,0.05000000000001137,0.0164839
1865,2023-07-03 11:00:20.675674538,1,193.41,125.0,-0.286136723223176,0.17959252322317262,0.09000000000000341,0.0165442
1870,2023-07-03 11:00:29.727036732,2,193.49,57.0,-0.22697012322317375,0.17959252322317262,0.030000000000001137,0.0173776
1872,2023-07-03 11:00:29.727036732,2,193.49,107.0,-0.22697012322317375,0.17959252322317262,0.030000000000001137,0.0173776
1875,2023-07-03 11:00:29.727036732,2,193.5,120.0,-0.11769381803555495,0.08031621803554471,0.020000000000010232,0.0173776
1899,2023-07-03 11:01:38.303839075,1,193.46,59.0,-0.10197141820430385,0.025398218204301576,0.060000000000002274,0.0165732
